image_path,class,source_dataset,source_category,split
processed_3class/train/REAL/00000.jpg,real,processed_3class (FaceForensics++),Original,train
processed_3class/train/REAL/00001.jpg,real,processed_3class (FaceForensics++),Original,train
processed_3class/train/REAL/00002.jpg,real,processed_3class (FaceForensics++),Original,train
processed_3class/train/REAL/00003.jpg,real,processed_3class (FaceForensics++),Original,train
processed_3class/train/REAL/00004.jpg,real,processed_3class (FaceForensics++),Original,train
processed_3class/train/REAL/00005.jpg,real,processed_3class (FaceForensics++),Original,train
processed_3class/train/REAL/00006.jpg,real,processed_3class (FaceForensics++),Original,train
processed_3class/train/REAL/00007.jpg,real,processed_3class (FaceForensics++),Original,train
processed_3class/train/REAL/00008.jpg,real,processed_3class (FaceForensics++),Original,train
processed_3class/train/REAL/00009.jpg,real,processed_3class (FaceForensics++),Original,train
processed_3class/train/REAL/00010.jpg,real,processed_3class (FaceForensics++),Original,train
processed_3class/train/REAL/00011.jpg,real,processed_3class (FaceForensics++),Original,train
processed_3class/train/REAL/00012.jpg,real,processed_3class (FaceForensics++),Original,train
processed_3class/train/REAL/00013.jpg,real,processed_3class (FaceForensics++),Original,train
processed_3class/train/REAL/00014.jpg,real,processed_3class (FaceForensics++),Original,train
processed_3class/train/REAL/00015.jpg,real,processed_3class (FaceForensics++),Original,train
processed_3class/train/REAL/00016.jpg,real,processed_3class (FaceForensics++),Original,train
processed_3class/train/REAL/00017.jpg,real,processed_3class (FaceForensics++),Original,train
processed_3class/train/REAL/00018.jpg,real,processed_3class (FaceForensics++),Original,train
processed_3class/train/REAL/00019.jpg,real,processed_3class (FaceForensics++),Original,train
processed_3class/train/REAL/00020.jpg,real,processed_3class (FaceForensics++),Original,train
processed_3class/train/REAL/00021.jpg,real,processed_3class (FaceForensics++),Original,train
processed_3class/train/REAL/00022.jpg,real,processed_3class (FaceForensics++),Original,train
processed_3class/train/REAL/00023.jpg,real,processed_3class (FaceForensics++),Original,train
processed_3class/train/REAL/00024.jpg,real,processed_3class (FaceForensics++),Original,train
processed_3class/train/REAL/00025.jpg,real,processed_3class (FaceForensics++),Original,train
processed_3class/train/REAL/00026.jpg,real,processed_3class (FaceForensics++),Original,train
processed_3class/train/REAL/00027.jpg,real,processed_3class (FaceForensics++),Original,train
